Trace
Swept SA
A.08.55,N9000A
501940000,-89.1206061290818
501950000,-89.2215574246749
501960000,-88.5289937995017
501970000,-88.9501489852981
501980000,-88.8451733252774
501990000,-89.3441724454639
502000000,-89.2054493101471
502010000,-88.9758832001924
502020000,-89.3897876240922
502030000,-89.2436292612878
502040000,-88.8904048219757
502050000,-88.8891571076815
502060000,-89.2903354424981
502070000,-88.9147892809678
502080000,-88.9515663522852
502090000,-88.7863309854847
502100000,-88.5967446857012
502110000,-88.8885256583702
502120000,-89.0008746503144
502130000,-88.8129625170357
502140000,-89.0978404894281
502150000,-89.0435465335654
502160000,-89.1830698606657
502170000,-89.4142543580833
502180000,-89.3443494439084
502190000,-89.1629487767012
502200000,-89.193856105041
502210000,-89.3278947129912
502220000,-88.8595888389275
502230000,-89.507749832509
502240000,-89.4206589484604
502250000,-89.0684871437524
502260000,-89.4260027242998
502270000,-89.1384299267265
502280000,-89.1741122944702
502290000,-89.0177063692109
502300000,-89.2324930109662
502310000,-89.0039701278721
502320000,-89.4310271112636
502330000,-88.877722612359
502340000,-88.6990042264112
502350000,-88.5580615386643
502360000,-89.5351174310274
502370000,-88.7478613300816
502380000,-89.0147356456681
502390000,-88.70973810071
502400000,-89.237860760831
502410000,-89.1805978510153
502420000,-88.8848332666768
502430000,-88.9175250193537
502440000,-89.006365584704
502450000,-89.4288188509029
502460000,-89.0423396275278
502470000,-89.2989944708373
502480000,-88.7716525266777
502490000,-88.4794495959867
502500000,-88.8467010417048
502510000,-88.6857475296617
502520000,-88.8683187714257
502530000,-89.6990005256427
502540000,-89.0766820334059
502550000,-89.5086374740883
502560000,-89.2585490417264
502570000,-89.0183947874505
502580000,-88.9350522007845
502590000,-88.9363225289705
502600000,-89.5478939164558
502610000,-88.879213686488
502620000,-89.5886874931327
502630000,-89.4452141734903
502640000,-89.4127720528524
502650000,-89.2722602417584
502660000,-88.5537026435454
502670000,-88.7414560309448
502680000,-88.9981444566333
502690000,-89.451794272499
502700000,-89.2229936063736
502710000,-89.1430899128831
502720000,-89.3583443413507
502730000,-89.083992108426
502740000,-88.5870334135545
502750000,-89.6127210023361
502760000,-88.4448549740771
502770000,-88.8930759825164
502780000,-89.0647158935408
502790000,-89.167131694335
502800000,-88.9465567243118
502810000,-88.8441248003072
502820000,-89.1364394376138
502830000,-89.4615176079274
502840000,-89.2901601323162
502850000,-88.7441845119028
502860000,-89.1266136841979
502870000,-88.9453483633511
502880000,-89.4534909223411
502890000,-89.0555397041487
502900000,-88.3263638064778
502910000,-88.8653591495119
502920000,-88.7103276403487
502930000,-89.053818356707
502940000,-89.6842185597689
502950000,-89.2635343933527
502960000,-89.0409934174435
502970000,-89.1739837190856
502980000,-89.5187237317853
502990000,-89.3236683884872
503000000,-89.3243460250293
503010000,-89.096827942677
503020000,-89.3887904686875
503030000,-88.9848973468671
503040000,-88.337331878733
503050000,-89.0261519138097
503060000,-89.5756330880889
503070000,-89.1972616415982
503080000,-88.9631517990198
503090000,-88.6850361404957
503100000,-88.9623929827337
503110000,-89.1939820091392
503120000,-88.6285999420081
503130000,-88.7308004879333
503140000,-89.0019097711542
503150000,-88.7761068212147
503160000,-89.5310460245526
503170000,-89.012400293648
503180000,-88.7542874594408
503190000,-89.213341018474
503200000,-89.2929695210026
503210000,-88.6523525676949
503220000,-89.1366258507838
503230000,-88.9581981616467
503240000,-89.1495344039025
503250000,-88.7789603314326
503260000,-89.2887151052854
503270000,-88.8019505923982
503280000,-89.3187634476221
503290000,-89.209067598765
503300000,-89.2871708858196
503310000,-89.727188934471
503320000,-89.7467477886594
503330000,-88.6480586840789
503340000,-88.8537446654005
503350000,-89.1780852294266
